                         CADASTRO DE PRODUTOS DA POF 2008-2009;;;;;;;;
;;;;;;;;
( CÓDIGO = 3 DÍGITOS + 2 DÍGITOS REFERENTE AO SEQUENCIAL DO CÓDIGO );;;;;;;;
(GRUPO = 2 DÍGITOS APENAS PARA CÓDIGOS DA CADERNETA DE DESPESA COLETIVA - POF3) ;;;;;;;;
;;;;;;;;
;;;;;;;;
QUADRO;GRUPO;Quadro_2dig_txt;CÓDIGO;codigo_txt;Complete_item_code;PRODUTO;;
08;08;08;01304;01304;X0801304;ELETRICISTA;;
08;08;08;01305;01305;X0801305;PINTOR;;
08;08;08;01306;01306;X0801306;VIDRACEIRO;;
08;08;08;01307;01307;X0801307;MANUTENCAO DE CAIXA DE AGUA;;
08;08;08;01308;01308;X0801308;CONSERTO DE TOLDO;;
08;08;08;01309;01309;X0801309;CONSERTO DE PORTAO ELETRONICO;;
08;08;08;01310;01310;X0801310;MANUTENCAO DE FOSSA SEPTICA;;
08;08;08;01401;01401;X0801401;DEDETIZACAO, DESRATIZACAO, DESINSETIZACAO, ETC.;;
08;08;08;01402;01402;X0801402;DESRATIZACAO;;
08;08;08;01403;01403;X0801403;EXTERMINIO DE INSETOS;;
08;08;08;01404;01404;X0801404;DESINSETIZACAO;;
08;08;08;01501;01501;X0801501;VITRIFICACAO (SINTECO, POLIURETANO, ETC.);;
08;08;08;01502;01502;X0801502;SINTECO;;
08;08;08;01503;01503;X0801503;POLIURETANO;;
08;08;08;01601;01601;X0801601;REFORMA OU OBRA POR EMPREITADA;;
08;08;08;01602;01602;X0801602;CONSTRUCAO POR EMPREITADA;;
08;08;08;01603;01603;X0801603;EMPREITEIRO;;
08;08;08;01604;01604;X0801604;EMPREITADA;;
08;08;08;01605;01605;X0801605;OBRA POR EMPREITADA;;
08;08;08;01606;01606;X0801606;TERRAPLANAGEM (EMPREITADA);;
08;08;08;01607;01607;X0801607;SERVICO DE TERRAPLANAGEM (EMPREITADA);;
08;08;08;01701;01701;X0801701;LICENCA PARA OBRA, PLANTA E DESEMBARACO DE DOCUMENTACAO;;
08;08;08;01702;01702;X0801702;PLANTA PARA OBRA;;
08;08;08;01703;01703;X0801703;DESEMBARACO DE DOCUMENTACAO PARA OBRA;;
08;08;08;01704;01704;X0801704;LICENCA PARA OBRA;;
